"Rs","T5","T10","Annual.Rs","Latitude","Longitude","Elevation","MAT","MAP","Forest.type","Longitude.1","Latitude.1","Year","Month"
3.11,22.85,15.5542857142857,1489.36,22.46,106.94,198,22,1350,18,106.94,22.46,2014,10
3.95,20.45,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2014,11
2.35,13.62,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2014,12
2.02,12.17,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2015,1
4.7,13.9,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2015,2
3.1,18.1,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2015,3
4.21,21.01,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2015,4
5.57,24.7,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2015,5
5.62,25.82,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2015,6
6.71,26.21,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2015,7
4.24,26.28,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2015,8
3.3,26.1,15.5542857142857,923.831388888889,22.46,106.94,198,22,1350,18,106.94,22.46,2015,9
2.19,18.8728541226216,22.9,858.73,22.62,108.14,80,21.5,1250,12,108.14,22.62,2013,4
2.23,18.8728541226216,26.04,923.831388888889,22.62,108.14,80,21.5,1250,12,108.14,22.62,2013,5
2.65,18.8728541226216,26.22,923.831388888889,22.62,108.14,80,21.5,1250,12,108.14,22.62,2013,6
3.02,18.8728541226216,27.2,923.831388888889,22.62,108.14,80,21.5,1250,12,108.14,22.62,2013,7
3.48,18.8728541226216,27.23,923.831388888889,22.62,108.14,80,21.5,1250,12,108.14,22.62,2013,8
3.47,18.8728541226216,26.14,923.831388888889,22.62,108.14,80,21.5,1250,12,108.14,22.62,2013,9
2.38,18.8728541226216,21.29,923.831388888889,22.62,108.14,80,21.5,1250,12,108.14,22.62,2013,10
2.29,18.8728541226216,16.44,923.831388888889,22.62,108.14,80,21.5,1250,12,108.14,22.62,2013,11
1.21,18.8728541226216,15.2,923.831388888889,22.62,108.14,80,21.5,1250,12,108.14,22.62,2013,12
1.04,18.8728541226216,12.48,923.831388888889,22.62,108.14,80,21.5,1250,12,108.14,22.62,2014,1
